_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_tension,control_familiarity,control_like_dislike,control_activity,control_positivity,control_engagement,song_inspired,song_wonder,song_spirituality,song_thrills,song_tension,song_familiarity,song_chills,song_tenderness,song_nostalgia,song_like_dislike,song_activity,song_positivity,song_engagement,song_goosebumps,song_overwhelmed,song_shivers,song_chillsshiversthrills,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,song,musicpref_hip_hop,musicpref_none,musicpref_jazz,musicpref_rock,musicpref_classical,musicpref_world,musicpref_dance,musicpref_pop,musicpref_traditional_irish,language,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,concentration,musicpref_hiphop,musicpref_folk
5410f6d008ad6ee3090e399c,dublin,male,,irish,,,False,20.0,True,,,,,,,3.0,4.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,,,,,,,,hallelujah_dublin,0.0,0.0,1,1,0,0,1,1,1.0,,,,,,,,,,,,,,
5410f6d108ad6ee3090e39ad,dublin,male,,british,,,False,32.0,True,,,,,,,4.0,5.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,,,,,,,,hallelujah_dublin,0.0,1.0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,
5410f76708ad6ee3090e3c1a,dublin,male,,irish,,,True,33.0,True,,,,,,,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,,,,,,,,hallelujah_dublin,0.0,0.0,0,0,0,0,1,0,0.0,,,,,,,,,,,,,,
5410f7fc08ad6ee3090e3e4e,dublin,male,,british,,,False,25.0,True,,,,,,,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,,,,,,,,hallelujah_dublin,0.0,0.0,0,1,0,0,0,1,0.0,,,,,,,,,,,,,,
5410f88208ad6ee3090e407b,dublin,female,,irish,,,True,27.0,True,,,,,,,2.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,,,,,,,,hallelujah_dublin,0.0,0.0,0,1,0,0,0,1,1.0,,,,,,,,,,,,,,
5410fa6408ad6ee3090e46e0,dublin,female,,irish,,,False,23.0,True,,,,,,,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,,,,,,,,hallelujah_dublin,1.0,0.0,0,1,0,0,0,1,0.0,,,,,,,,,,,,,,
5410fa6408ad6ee3090e46e4,dublin,female,,irish,,,False,25.0,True,,,,,,,3.0,3.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,hallelujah_dublin,1.0,0.0,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,
5410fa6408ad6ee3090e46ee,dublin,male,,irish,,,True,11.0,True,,,,,,,5.0,1.0,5.0,1.0,5.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,hallelujah_dublin,0.0,0.0,0,1,0,0,0,0,0.0,,,,,,,,,,,,,,
5410fb2f08ad6ee3090e49d7,dublin,female,,other,,,False,28.0,True,,,,,,,4.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,hallelujah_dublin,0.0,0.0,0,0,0,1,1,1,0.0,,,,,,,,,,,,,,
5410fba108ad6ee3090e4b8b,dublin,female,,irish,,,False,15.0,True,,,,,,,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,,,,,,,,hallelujah_dublin,0.0,0.0,0,1,0,0,0,0,0.0,,,,,,,,,,,,,,
